Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Lampung,2024,Juni,Non UMKM,48491.873626608,638.000689353,257.160057685,261275
Jambi,2024,Juni,Non UMKM,28525.334671931,473.290662645,208.030337073,185902
Bengkulu,2024,Juni,Non UMKM,15430.45828794,192.910340433,86.434099739,118718
Sumatera Selatan,2024,Juli,Non UMKM,77422.8421078,1016.145751597,426.405468468,386387
KEPULAUAN BANGKA BELITUNG,2024,Juli,Non UMKM,10235.436183008,112.279560001,51.129613429,68156
Lampung,2024,Juli,Non UMKM,48964.574229044,658.851842156,280.594253595,263069
Jambi,2024,Juli,Non UMKM,28506.591255577,483.994814744,216.562443799,188077
Bengkulu,2024,Juli,Non UMKM,15632.27701879,182.131534962,88.347100779,119916
Sumatera Selatan,2024,Agustus,Non UMKM,77470.432055875,1018.246963354,404.724362047,389058
KEPULAUAN BANGKA BELITUNG,2024,Agustus,Non UMKM,10754.01272878,101.348683732,39.916119794,68383
Lampung,2024,Agustus,Non UMKM,49471.363838008,708.471943115,304.986909016,264697
Jambi,2024,Agustus,Non UMKM,28531.045082114,475.738028136,217.935082969,189840
Bengkulu,2024,Agustus,Non UMKM,15706.717486605,174.292137484,86.883182275,121105
Sumatera Selatan,2024,September,Non UMKM,78156.749353305,1066.91041941,466.785152946,390357
KEPULAUAN BANGKA BELITUNG,2024,September,Non UMKM,10838.888840803,101.659219211,40.566509052,68499
Lampung,2024,September,Non UMKM,49651.358871825,706.511953833,304.745584237,265758
Jambi,2024,September,Non UMKM,28808.359719942,447.821780262,207.234788289,190772
Bengkulu,2024,September,Non UMKM,16030.705267111,171.917319582,84.777898477,122129
Sumatera Selatan,2024,Oktober,Non UMKM,80009.875524889,1098.150820178,461.266696427,391002
KEPULAUAN BANGKA BELITUNG,2024,Oktober,Non UMKM,11120.744614967,103.155477009,40.295328802,69027
Lampung,2024,Oktober,Non UMKM,50167.205801373,708.183021083,306.19048214,267201
Jambi,2024,Oktober,Non UMKM,29289.60335976,466.992947792,215.733038401,192161
Bengkulu,2024,Oktober,Non UMKM,16186.778274477,177.470988925,87.547445,123243
Sumatera Selatan,2024,November,Non UMKM,79670.046464277,1123.393599219,468.912091695,392351
KEPULAUAN BANGKA BELITUNG,2024,November,Non UMKM,11130.165057773,108.929905187,44.671927212,69199
Lampung,2024,November,Non UMKM,50201.821594723,702.899540299,301.326013199,265940
Jambi,2024,November,Non UMKM,29354.796821118,464.555799015,207.652023164,192980
Bengkulu,2024,November,Non UMKM,16262.852264864,182.064549024,91.752996772,123868
Sumatera Selatan,2024,Desember,Non UMKM,78706.524409705,1183.692484407,439.921544305,392360
KEPULAUAN BANGKA BELITUNG,2024,Desember,Non UMKM,11194.851395939,109.973095913,44.877382856,68927
Lampung,2024,Desember,Non UMKM,50652.187002884,663.270857717,230.38144211,265884
Jambi,2024,Desember,Non UMKM,29439.922111488,452.566512472,211.037391629,192817
Bengkulu,2024,Desember,Non UMKM,16348.432130461,168.536361517,82.592158772,124443
Sumatera Selatan,2025,Januari,UMKM,40033.879785393,1616.220946718,600.106133754,657279
KEPULAUAN BANGKA BELITUNG,2025,Januari,UMKM,6836.245824007,258.095585352,94.077430688,92316
Lampung,2025,Januari,UMKM,32995.798231456,1549.383511159,674.570387108,566699
Jambi,2025,Januari,UMKM,26134.90488304,676.102693329,313.593139318,291818
