Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,JAMBI,2024,April,56750.190358791,7096.607701682,24502.431182809,14354.952239805,45953.99112,16166.291828657,14324.053797953,22086.686834622,52577.03246,1216.393186497,0.02313544773,580.111986531,0.01103356274,1.144123311
INDONESIA,JAMBI,2024,Mei ,57248.239049237,7702.355602884,24475.18244096,13694.471444837,45872.00949,16387.118573028,14536.148828591999,22222.739930575997,53146.00733,1235.343184848,0.02324432722,561.562472153,0.01056640941,1.158571598
INDONESIA,JAMBI,2024,Juni,58721.109936154,7731.7022907,25320.052875278,12483.537533425999,45535.2927,16372.118998434,14801.830442226,22373.188351548,53547.13779,1197.605057958,0.02236543553,541.154598503,0.01010613491,1.175948031
INDONESIA,JAMBI,2024,Juli,57553.771022594,7322.279860239,25957.416976663,12619.728254704001,45899.42509,16033.795331189,15000.181377631001,22604.316501762,53638.29321,1199.212014386,0.02235738579,555.8991992020001,0.01036384952,1.168604903
INDONESIA,JAMBI,2024,Agustus,57303.516456157995,8212.509596109,25360.779040200003,12486.365753282,46059.65439,15876.889245569,15228.588354038,22754.509147653,53859.98675,1192.173006686,0.02213466951,551.646295206,0.01024222857,1.16935282
INDONESIA,JAMBI,2024,September,58613.791872477006,7393.352496844,26111.937625221,12848.373196953,46353.66332,16437.346428874,15405.810345876002,22898.719557656,54741.87633,1174.909515081,0.02146271911,546.713312762,0.009987113146,1.180961167
INDONESIA,JAMBI,2024,Oktober,59673.587013471006,7559.938825151,26861.136566859,13449.051003228,47870.1264,16717.697338699,15552.279198551,23106.036003972,55376.01254,1174.80461918,0.02121504538,542.3400278199999,0.00979377176,1.156796873
INDONESIA,JAMBI,2024,November,59913.859677276996,7387.410663987,27240.948769841,12836.442852286,47464.80229,16300.235019876,15992.883585081,23207.834442351,55500.95305,1157.980379551,0.02086415306,523.814656923,0.009437939858,1.169307579
INDONESIA,JAMBI,2024,Desember,61138.12354472,6294.366445607,28066.681918857,13976.394810552,48337.44318,16375.223840827999,16027.773531019999,23249.349458483997,55652.34683,1077.307542314,0.01935780975,486.71388512500005,0.00874561295,1.151329966
INDONESIA,BENGKULU,2023,Januari,28925.029040772002,2692.717436602,10297.731562523999,3293.041922552,16283.49092,8267.613062060998,4348.082047962001,13535.382725780999,26151.07784,476.94801249500006,0.018238178,202.14074837899997,0.00772972914,1.60598719
